applicant_id,income,employment_duration,credit_score,credit_risk_tier,region,birth_date,employment_status,housing_status,residential_status,state,application_date
AP-10001,105,240,642,Fair,Midwest,8/29/2000,employed,employed,rent,NC,1/10/2025 10:42
AP-10002,798,327,702,Excellent,Midwest,6/10/1951,employed,employed,own,NC,7/29/2026 19:48
AP-10003,702,266,657,Subprime,Southwest,6/2/2001,self-employed,employed,rent,NC,3/25/2025 22:16
AP-10004,238,257,385,Subprime,Southeast,6/11/1978,self-employed,self-employed,other,NC,7/13/2026 15:17
AP-10005,427,2,755,Fair,Midwest,11/24/1982,self-employed,employed,other,NC,4/19/2026 14:23
AP-10006,859,285,699,Fair,West,1/7/1978,self-employed,self-employed,other,NC,11/25/2025 23:37
AP-10007,259,238,651,Subprime,Midwest,9/15/1950,self-employed,employed,own,NC,5/16/2026 0:54
AP-10008,734,177,571,Subprime,Northeast,7/9/1983,employed,employed,other,NC,9/17/2025 7:51
AP-10009,584,120,620,Excellent,Midwest,4/10/1963,retired,retired,rent,NC,4/9/2025 11:48
AP-10010,96,24,558,Subprime,West,4/21/1967,retired,self-employed,other,NC,5/24/2025 6:56
AP-10011,762,325,305,Good,Northeast,12/30/1953,self-employed,self-employed,rent,NC,1/29/2025 16:39
AP-10012,346,92,329,Subprime,West,2/25/2004,retired,retired,own,NC,4/15/2025 1:01
AP-10013,368,339,800,Good,Northeast,5/27/1961,retired,retired,own,NC,9/8/2025 12:01
AP-10014,227,41,838,Subprime,Southeast,11/1/1974,self-employed,retired,own,NC,12/15/2025 4:45
AP-10015,998,193,441,Fair,Southwest,9/5/1974,self-employed,self-employed,other,NC,12/9/2025 16:49
AP-10016,169,303,391,Fair,Southeast,5/11/1980,self-employed,employed,other,NC,6/20/2025 8:43
AP-10017,358,283,633,Excellent,West,1/13/1969,retired,retired,rent,NC,5/7/2026 22:46
AP-10018,673,55,404,Excellent,West,12/14/1954,self-employed,employed,other,NC,4/13/2025 15:01
AP-10019,759,264,632,Subprime,Midwest,8/19/1969,employed,employed,rent,NC,3/7/2025 19:25
AP-10020,120,233,589,Good,Midwest,7/5/2006,self-employed,retired,other,NC,9/24/2025 22:24
AP-10021,581,32,569,Fair,Northeast,1/24/1952,employed,self-employed,other,NC,5/6/2025 17:44
AP-10022,156,327,549,Excellent,Southwest,9/10/1981,retired,retired,own,NC,11/13/2025 16:10
AP-10023,710,212,512,Fair,Southwest,12/5/1992,self-employed,employed,other,NC,5/2/2026 3:11
AP-10024,882,8,319,Excellent,Midwest,9/15/1981,retired,self-employed,rent,NC,12/8/2025 19:04
AP-10025,540,219,830,Fair,Southeast,5/6/1990,self-employed,self-employed,own,NC,12/4/2025 3:01
AP-10026,587,234,494,Subprime,Southwest,5/18/1961,retired,employed,other,NC,5/20/2026 22:19
AP-10027,326,171,332,Good,West,7/28/1982,self-employed,self-employed,other,NC,2/27/2025 1:25
AP-10028,383,148,722,Subprime,Southwest,11/3/1995,retired,self-employed,own,NC,3/2/2025 16:30
AP-10029,637,72,386,Excellent,Southeast,7/24/1981,retired,self-employed,rent,NC,5/21/2025 18:18
AP-10030,76,251,358,Subprime,Northeast,5/10/1987,employed,employed,own,NC,1/2/2025 19:09
AP-10031,657,186,408,Fair,Midwest,6/30/1955,self-employed,self-employed,rent,NC,6/6/2026 9:11
AP-10032,213,54,798,Good,West,10/7/1959,self-employed,retired,other,NC,10/19/2025 6:01
AP-10033,557,136,609,Fair,Southeast,8/14/1948,employed,retired,rent,NC,6/17/2025 14:50
AP-10034,91,277,631,Subprime,Northeast,11/15/1956,retired,retired,other,NC,4/13/2025 23:55
AP-10035,601,39,575,Subprime,Southwest,1/17/1967,retired,employed,own,NC,3/28/2025 7:40
AP-10036,587,186,711,Good,Southwest,12/16/1951,employed,employed,own,NC,6/18/2026 1:42
AP-10037,607,281,638,Subprime,Midwest,10/22/1972,employed,retired,rent,NC,10/14/2025 23:39
AP-10038,761,299,774,Good,West,11/26/1970,self-employed,retired,other,NC,8/31/2025 17:03
AP-10039,648,146,591,Subprime,Northeast,1/25/1952,employed,self-employed,other,NC,1/16/2025 13:48
AP-10040,620,303,694,Fair,West,7/16/1993,retired,employed,own,NC,7/12/2026 2:00
AP-10041,879,249,368,Subprime,Northeast,9/27/1999,employed,retired,rent,NC,10/26/2025 20:40
AP-10042,774,267,364,Excellent,Southwest,11/19/1981,retired,self-employed,own,NC,11/27/2025 5:41
AP-10043,447,1,332,Subprime,West,7/9/2003,retired,employed,other,NC,7/22/2026 19:18
AP-10044,334,157,757,Excellent,Midwest,10/25/1985,self-employed,employed,rent,NC,4/12/2026 14:30
AP-10045,306,61,378,Fair,West,1/31/1955,employed,employed,rent,NC,4/12/2026 15:09
AP-10046,639,216,303,Subprime,Midwest,10/4/1967,self-employed,retired,own,NC,4/24/2025 2:29
AP-10047,732,182,650,Fair,Northeast,2/21/1961,retired,employed,own,NC,5/12/2025 17:46
AP-10048,496,254,675,Good,Southwest,4/4/1964,employed,self-employed,rent,NC,11/6/2025 23:41
AP-10049,134,318,823,Good,Northeast,10/26/1966,employed,employed,rent,NC,6/23/2026 14:29
AP-10050,830,253,581,Good,West,8/31/1952,self-employed,employed,rent,NC,5/27/2025 3:15
AP-10051,21,204,457,Subprime,Southwest,9/15/1986,self-employed,self-employed,rent,NC,2/9/2026 23:22
AP-10052,784,29,562,Good,Northeast,6/3/1969,retired,self-employed,other,NC,11/5/2025 23:34
AP-10053,459,350,689,Good,Southeast,1/13/1990,employed,employed,own,NC,5/30/2026 0:28
AP-10054,803,318,815,Excellent,Southwest,8/1/1992,retired,retired,rent,NC,6/8/2025 5:15
AP-10055,981,215,350,Excellent,Southwest,1/7/1957,employed,self-employed,own,NC,11/7/2025 19:08
AP-10056,19,345,612,Fair,Southeast,6/19/1957,employed,self-employed,rent,NC,11/17/2025 0:34
AP-10057,647,5,472,Fair,Northeast,11/18/1982,self-employed,retired,rent,NC,1/24/2025 0:23
AP-10058,424,237,768,Excellent,West,4/21/1980,retired,self-employed,other,NC,10/30/2025 3:04
AP-10059,503,253,478,Excellent,Southwest,12/4/1957,retired,employed,own,NC,6/26/2026 0:50
AP-10060,354,317,800,Subprime,Southeast,12/20/1984,self-employed,employed,rent,NC,6/13/2025 0:17
AP-10061,749,40,332,Subprime,West,7/5/1992,self-employed,retired,other,NC,2/1/2025 9:55
AP-10062,114,230,650,Good,West,9/14/1961,employed,retired,own,NC,6/19/2025 5:24
AP-10063,767,183,468,Excellent,Northeast,3/9/1985,employed,retired,own,NC,1/6/2026 6:26
AP-10064,382,229,650,Excellent,Northeast,5/9/2004,retired,employed,rent,NC,7/16/2026 3:05
AP-10065,417,258,349,Fair,Northeast,7/17/1947,retired,retired,rent,NC,3/31/2025 13:50
AP-10066,817,19,308,Fair,West,3/25/1993,self-employed,employed,own,NC,3/12/2026 20:33
AP-10067,530,111,448,Subprime,West,12/23/2001,retired,retired,rent,NC,6/5/2026 3:31
AP-10068,413,41,625,Good,West,8/7/2005,retired,retired,own,NC,12/18/2025 5:23
AP-10069,410,134,317,Fair,Southeast,11/10/1960,employed,retired,rent,NC,8/1/2025 10:04
AP-10070,692,294,565,Excellent,West,6/9/1956,retired,self-employed,rent,NC,3/1/2026 12:43
AP-10071,359,2,459,Good,West,11/28/1988,retired,self-employed,rent,NC,11/12/2025 1:08
AP-10072,635,238,587,Fair,Southeast,6/15/1948,employed,employed,rent,NC,10/10/2025 15:19
AP-10073,48,291,580,Excellent,Northeast,6/2/1952,self-employed,self-employed,own,NC,4/21/2026 21:18
AP-10074,532,306,679,Fair,Southeast,10/5/1998,employed,employed,other,NC,8/22/2025 23:40
AP-10075,865,245,317,Fair,Southwest,3/1/1950,retired,retired,rent,NC,1/10/2026 19:53
AP-10076,361,123,773,Good,Midwest,8/21/1951,employed,retired,own,NC,4/21/2025 3:03
AP-10077,987,271,545,Subprime,West,8/5/1945,employed,retired,own,NC,8/14/2025 0:07
AP-10078,820,355,815,Excellent,Southeast,2/26/2005,employed,self-employed,rent,NC,7/29/2026 1:19
AP-10079,44,9,590,Excellent,Southwest,10/1/2005,retired,self-employed,rent,NC,3/29/2025 11:12
AP-10080,636,153,408,Fair,Southeast,12/27/2007,employed,retired,own,NC,10/3/2025 13:29
AP-10081,201,166,565,Good,Northeast,9/10/1965,self-employed,self-employed,other,NC,2/6/2025 8:07
AP-10082,7,177,838,Subprime,Northeast,5/28/1982,employed,retired,own,NC,4/18/2026 2:56
AP-10083,207,56,529,Excellent,Southeast,9/9/1958,employed,retired,own,NC,5/7/2026 5:42
AP-10084,22,68,302,Excellent,Midwest,10/3/1997,retired,employed,own,NC,6/13/2026 1:21
AP-10085,565,44,542,Fair,Southwest,1/30/1948,retired,self-employed,own,NC,3/31/2026 6:54
AP-10086,528,23,776,Fair,Midwest,5/17/1977,self-employed,employed,rent,NC,3/9/2026 12:30
AP-10087,479,209,339,Fair,West,5/10/1953,self-employed,self-employed,rent,NC,2/2/2026 9:49
AP-10088,770,10,412,Fair,Midwest,10/26/2003,retired,employed,other,NC,3/12/2025 15:46
AP-10089,257,178,490,Excellent,West,7/6/1989,employed,employed,other,NC,5/15/2025 14:21
AP-10090,336,237,582,Good,West,4/26/1958,retired,retired,own,NC,5/17/2025 15:35
AP-10091,952,298,338,Subprime,Southwest,9/8/1980,employed,self-employed,rent,NC,2/16/2025 3:31
AP-10092,837,132,792,Excellent,West,11/11/1948,retired,retired,rent,NC,2/21/2025 3:40
AP-10093,852,243,766,Excellent,Northeast,11/18/1945,employed,self-employed,own,NC,7/17/2026 8:29
