credit_pull_event_id,applicant_id,product_code,event_date,dti_ratio,credit_score,credit_score_tier_change,pull_status,bureau_name,failure_code,provider_request_id,risk_status
EV-87718,AP-10001,REV-02,5/11/2026 13:07,18.96,602,Downgraded,FAILED,TRANSUNION,INVALID_REQUEST,NLR-72470,High Risk
EV-12612,AP-10002,REV-02,3/29/2026 4:21,6.13,778,No_Change,SUCCESS,EQUIFAX,,SIS-85534,Low Risk
EV-44302,AP-10003,MNT-01,7/9/2025 11:24,0.72,371,No_Change,PENDING,EQUIFAX,TIMEOUT,EHP-11213,Very High Risk
EV-56653,AP-10004,REV-02,1/22/2025 11:42,26.26,485,Upgraded,PENDING,EQUIFAX,PROVIDER ERROR,CMH-61781,Very High Risk
EV-85082,AP-10005,MNT-01,6/29/2025 8:37,18.4,793,No_Change,SUCCESS,EXPERIAN,,FIL-11225,Low Risk
EV-86479,AP-10006,REV-02,11/16/2025 20:22,23.07,532,Downgraded,FAILED,EQUIFAX,TIMEOUT,PVU-08230,Very High Risk
EV-36394,AP-10007,MNT-01,4/24/2026 19:25,24.92,406,Not_Applicable,SUCCESS,TRANSUNION,,ALB-01829,Very High Risk
EV-75072,AP-10008,REV-02,6/7/2025 16:29,47.32,380,No_Change,SUCCESS,EXPERIAN,,OEO-84497,Very High Risk
EV-70319,AP-10009,REV-02,11/29/2025 18:55,3.95,516,Downgraded,SUCCESS,EQUIFAX,,NWF-17923,Very High Risk
EV-96430,AP-10010,REV-02,8/18/2025 22:45,37.95,730,Downgraded,PENDING,EXPERIAN,,BXY-78258,Moderate Risk
EV-51755,AP-10011,REV-02,4/19/2025 15:55,24.84,548,No_Change,SUCCESS,EXPERIAN,,TKU-51635,Very High Risk
EV-28420,AP-10012,MNT-01,3/6/2026 12:22,42.55,339,No_Change,PENDING,TRANSUNION,TIMEOUT,XZA-52903,Very High Risk
EV-40247,AP-10013,REV-02,4/14/2025 17:15,0.79,518,Not_Applicable,PENDING,EXPERIAN,,SBV-86873,Very High Risk
EV-08827,AP-10014,MNT-01,3/20/2026 16:50,14.77,454,Downgraded,FAILED,TRANSUNION,TIMEOUT,DPQ-60339,Very High Risk
EV-77557,AP-10015,MNT-01,7/17/2025 15:36,10.97,580,No_Change,PENDING,TRANSUNION,PROVIDER ERROR,VZO-54278,High Risk
EV-50894,AP-10016,MNT-01,6/26/2025 8:59,46.38,792,Downgraded,PENDING,EQUIFAX,PROVIDER ERROR,KPX-84508,Low Risk
EV-16739,AP-10017,REV-02,5/14/2025 0:50,10.28,760,No_Change,SUCCESS,EQUIFAX,,PMB-19552,Low Risk
EV-32847,AP-10018,REV-02,6/27/2025 0:25,15.48,552,No_Change,PENDING,EXPERIAN,RATE_LIMITED,EEA-89862,Very High Risk
EV-32017,AP-10019,MNT-01,5/26/2025 21:10,0.57,330,Downgraded,PENDING,EXPERIAN,TIMEOUT,MZZ-01760,Very High Risk
EV-60912,AP-10020,REV-02,3/20/2025 9:48,23.87,712,Downgraded,FAILED,EQUIFAX,RATE_LIMITED,WRL-11838,Moderate Risk
EV-46148,AP-10021,REV-02,4/16/2026 8:05,34.48,729,Not_Applicable,PENDING,EXPERIAN,PROVIDER ERROR,KJK-88301,Moderate Risk
EV-27257,AP-10022,MNT-01,9/12/2025 12:09,28.29,775,No_Change,PENDING,TRANSUNION,,CDX-40068,Low Risk
EV-15656,AP-10023,REV-02,10/10/2025 11:53,4.09,541,No_Change,SUCCESS,EQUIFAX,,OZM-73678,Very High Risk
EV-46732,AP-10024,MNT-01,4/24/2026 4:30,19.06,388,Not_Applicable,FAILED,TRANSUNION,INVALID_REQUEST,NFF-38452,Very High Risk
EV-45180,AP-10025,REV-02,3/13/2025 15:09,40.47,357,Upgraded,PENDING,EQUIFAX,PROVIDER ERROR,VHV-80642,Very High Risk
EV-15858,AP-10026,REV-02,1/3/2026 12:40,45.59,385,No_Change,FAILED,TRANSUNION,INVALID_REQUEST,NIW-89434,Very High Risk
EV-64700,AP-10027,MNT-01,3/23/2026 22:29,44.85,632,Not_Applicable,PENDING,EQUIFAX,,LOO-20348,High Risk
EV-91156,AP-10028,REV-02,1/19/2026 8:54,45.04,815,No_Change,FAILED,EXPERIAN,TIMEOUT,KGG-44965,Low Risk
EV-29529,AP-10029,MNT-01,1/21/2025 23:17,43.5,733,No_Change,FAILED,EXPERIAN,PROVIDER ERROR,OBN-76386,Moderate Risk
EV-52897,AP-10030,REV-02,5/20/2025 10:48,26.87,661,Not_Applicable,PENDING,EQUIFAX,TIMEOUT,PZG-35067,High Risk
EV-96648,AP-10031,MNT-01,6/3/2025 16:46,22.32,593,No_Change,SUCCESS,EXPERIAN,,MUA-64467,High Risk
EV-33390,AP-10032,MNT-01,5/21/2026 17:33,19.92,792,Upgraded,SUCCESS,EXPERIAN,,KCR-91289,Low Risk
EV-60832,AP-10033,MNT-01,9/18/2025 22:38,41.33,586,Not_Applicable,PENDING,TRANSUNION,RATE_LIMITED,KXS-87948,High Risk
EV-88611,AP-10034,REV-02,5/29/2026 20:52,3.19,611,Downgraded,FAILED,EXPERIAN,INVALID_REQUEST,WAS-93176,High Risk
EV-27689,AP-10035,REV-02,9/23/2025 19:45,8.15,466,Not_Applicable,SUCCESS,EQUIFAX,,HUZ-47926,Very High Risk
EV-23512,AP-10036,MNT-01,3/31/2025 17:33,48.52,498,Upgraded,SUCCESS,EXPERIAN,,YWA-13204,Very High Risk
EV-48507,AP-10037,MNT-01,3/27/2026 8:53,18.91,717,Upgraded,FAILED,TRANSUNION,INVALID_REQUEST,BSZ-56747,Moderate Risk
EV-85787,AP-10038,REV-02,2/17/2025 5:19,7.86,468,Not_Applicable,SUCCESS,EXPERIAN,,DWF-00571,Very High Risk
EV-00723,AP-10039,REV-02,8/27/2026 19:05,14.06,690,Not_Applicable,PENDING,TRANSUNION,TIMEOUT,WNS-93965,Moderate Risk
EV-56115,AP-10040,MNT-01,6/9/2025 15:28,48.72,451,Downgraded,SUCCESS,TRANSUNION,,PCN-11732,Very High Risk
EV-38784,AP-10041,MNT-01,4/9/2026 2:21,49.29,455,Downgraded,SUCCESS,TRANSUNION,,GDB-33924,Very High Risk
EV-25182,AP-10042,MNT-01,5/19/2026 6:00,48.96,500,Not_Applicable,SUCCESS,EQUIFAX,,ZPD-54757,Very High Risk
EV-95948,AP-10043,MNT-01,7/25/2026 8:22,37.23,487,Upgraded,PENDING,EXPERIAN,TIMEOUT,QPJ-93591,Very High Risk
EV-68872,AP-10044,REV-02,6/16/2025 11:50,29.82,330,Upgraded,PENDING,TRANSUNION,TIMEOUT,ZPU-09645,Very High Risk
EV-94103,AP-10045,REV-02,10/15/2025 14:50,2.18,812,No_Change,FAILED,EQUIFAX,,AQF-44713,Low Risk
EV-87897,AP-10046,REV-02,8/16/2025 12:59,22.59,393,Upgraded,SUCCESS,EQUIFAX,,ATC-34430,Very High Risk
EV-18934,AP-10047,MNT-01,9/6/2025 20:21,47.99,628,Not_Applicable,PENDING,EQUIFAX,,KZS-28156,High Risk
EV-76980,AP-10048,MNT-01,2/23/2026 3:18,6.53,438,Downgraded,FAILED,EQUIFAX,INVALID_REQUEST,PPV-03784,Very High Risk
EV-70159,AP-10049,MNT-01,11/9/2025 22:59,41.22,340,Not_Applicable,FAILED,TRANSUNION,RATE_LIMITED,DZO-78610,Very High Risk
EV-44213,AP-10050,MNT-01,1/9/2025 12:14,18.68,559,Upgraded,SUCCESS,EXPERIAN,,JRQ-67824,Very High Risk
EV-28902,AP-10051,REV-02,7/7/2025 12:28,38.9,365,No_Change,PENDING,TRANSUNION,RATE_LIMITED,OYX-74198,Very High Risk
EV-01166,AP-10052,REV-02,4/16/2025 18:31,16.6,763,Not_Applicable,SUCCESS,EQUIFAX,,GGB-28630,Low Risk
EV-66485,AP-10053,MNT-01,5/8/2025 9:08,15.91,534,Not_Applicable,SUCCESS,TRANSUNION,,BMN-80170,Very High Risk
EV-70247,AP-10054,MNT-01,7/17/2025 3:47,28.4,617,Upgraded,SUCCESS,EQUIFAX,,BAV-87413,High Risk
EV-41682,AP-10055,REV-02,4/20/2026 13:11,25.66,476,No_Change,PENDING,EXPERIAN,INVALID_REQUEST,JSO-93844,Very High Risk
EV-36479,AP-10056,MNT-01,5/23/2026 13:23,33.59,350,No_Change,PENDING,TRANSUNION,RATE_LIMITED,FSX-14080,Very High Risk
EV-82336,AP-10057,REV-02,4/6/2026 5:21,11.28,499,Not_Applicable,PENDING,EXPERIAN,TIMEOUT,IKZ-69038,Very High Risk
EV-25563,AP-10058,MNT-01,3/2/2025 17:37,29.36,717,Not_Applicable,FAILED,EQUIFAX,,DKO-87865,Moderate Risk
EV-77741,AP-10059,REV-02,7/2/2025 11:58,41.73,391,Not_Applicable,PENDING,EXPERIAN,,PBA-61551,Very High Risk
EV-55760,AP-10060,MNT-01,3/11/2025 16:53,39.33,433,Upgraded,PENDING,EXPERIAN,,FYM-96215,Very High Risk
EV-33018,AP-10061,REV-02,5/25/2026 4:21,26.07,304,Downgraded,FAILED,EQUIFAX,,ZWP-78045,Very High Risk
EV-27038,AP-10062,MNT-01,8/4/2025 9:07,47.05,478,Not_Applicable,FAILED,EXPERIAN,INVALID_REQUEST,XYQ-10036,Very High Risk
EV-51940,AP-10063,REV-02,9/3/2026 1:32,21.55,706,Not_Applicable,FAILED,EQUIFAX,,RWZ-75504,Moderate Risk
