application_id,applicant_id,product_code,decision_date,decision_status,approved_amount,approved_term_length,doc_id,policy_doc_id,rule_id_triggered,active_flag
LA-99998,AP-10001,MNT-01,7/8/2026 20:10,Approved,35,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-43710,AP-10002,REV-02,5/22/2026 3:30,Approved,31,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-97455,AP-10003,MNT-01,3/9/2026 9:14,Approved,29,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-37185,AP-10004,MNT-01,7/26/2026 14:37,Approved,17,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-51486,AP-10005,MNT-01,6/4/2026 10:29,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-33385,AP-10006,MNT-01,3/7/2026 16:30,Approved,50,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-42553,AP-10007,REV-02,4/26/2026 8:07,Approved,17,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-01863,AP-10008,REV-02,6/19/2026 17:12,Approved,28,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-72663,AP-10009,MNT-01,6/8/2026 10:45,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-56364,AP-10010,MNT-01,5/2/2026 7:20,Approved,41,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-58652,AP-10011,MNT-01,2/18/2026 14:27,Approved,23,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-58451,AP-10012,MNT-01,6/28/2026 13:39,Approved,19,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-61635,AP-10013,MNT-01,6/8/2026 19:26,Approved,26,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-65284,AP-10014,REV-02,5/8/2026 20:13,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-13393,AP-10015,MNT-03,5/29/2026 19:55,Approved,24,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-57222,AP-10016,MNT-06,2/17/2026 18:53,Approved,43,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-24297,AP-10017,MNT-01,7/20/2026 16:02,Approved,48,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-38879,AP-10018,MNT-03,7/12/2026 23:31,Approved,23,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-73898,AP-10019,MNT-03,6/4/2026 18:16,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-41326,AP-10020,REV-02,8/30/2026 23:27,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-24390,AP-10021,MNT-04,9/5/2026 17:51,Approved,34,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-59538,AP-10022,REV-02,4/4/2026 20:01,Approved,16,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-15157,AP-10023,MNT-03,4/27/2026 16:48,Approved,50,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-05117,AP-10024,MNT-01,2/21/2026 0:39,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-85894,AP-10025,MNT-01,5/10/2026 4:38,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-89467,AP-10026,MNT-01,7/3/2026 18:23,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-16861,AP-10027,REV-02,5/27/2026 18:43,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-65067,AP-10028,MNT-01,8/13/2026 7:41,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-67537,AP-10029,REV-02,3/3/2026 8:08,Approved,11,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-35420,AP-10030,REV-02,8/8/2026 9:45,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-48922,AP-10031,MNT-03,9/1/2026 12:59,Approved,31,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-55968,AP-10032,MNT-01,9/1/2026 4:14,Approved,43,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-02819,AP-10033,MNT-03,5/21/2026 11:37,Approved,44,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-24934,AP-10034,MNT-03,9/2/2026 0:53,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-55705,AP-10035,MNT-06,4/19/2026 9:52,Approved,14,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-73980,AP-10036,MNT-01,4/19/2026 8:25,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-21017,AP-10037,MNT-03,7/24/2026 10:06,Approved,33,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-23536,AP-10038,MNT-01,7/29/2026 23:54,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-61964,AP-10039,MNT-03,6/12/2026 1:22,Approved,36,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-77073,AP-10040,MNT-01,5/20/2026 0:19,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-43828,AP-10041,MNT-03,2/12/2026 3:56,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-68983,AP-10042,MNT-01,4/30/2026 18:45,Approved,25,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-26226,AP-10043,REV-02,4/29/2026 14:42,Approved,33,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-12879,AP-10044,MNT-01,4/1/2026 12:52,Approved,14,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-00948,AP-10045,MNT-01,6/16/2026 18:13,Approved,16,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-15025,AP-10046,MNT-03,8/5/2026 16:20,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-002,FALSE
LA-71797,AP-10047,REV-02,7/20/2026 6:16,Approved,10,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-34433,AP-10048,MNT-01,2/27/2026 17:54,Approved,40,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-67326,AP-10049,REV-02,2/24/2026 23:33,Approved,26,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-68720,AP-10050,MNT-03,7/16/2026 1:54,Approved,33,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-22973,AP-10051,MNT-01,2/19/2026 14:18,Approved,28,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-33674,AP-10052,REV-02,9/3/2026 21:32,Approved,42,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-49695,AP-10053,MNT-01,3/31/2026 19:15,Approved,49,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-70912,AP-10054,MNT-06,6/21/2026 21:23,Approved,50,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-14712,AP-10055,MNT-01,4/26/2026 0:42,Approved,26,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-52562,AP-10056,MNT-01,5/7/2026 5:43,Approved,29,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-74606,AP-10057,REV-02,3/16/2026 7:03,Approved,12,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-44099,AP-10058,MNT-03,8/12/2026 15:29,Approved,38,36,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-88397,AP-10059,MNT-01,4/20/2026 6:06,Denied,,,FIN-PROC-001,FIN-POL-001,UW1-CRD-001,FALSE
LA-31841,AP-10060,MNT-01,2/20/2026 22:39,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-45885,AP-10061,MNT-03,5/25/2026 9:22,Approved,40,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-07573,AP-10062,REV-02,4/25/2026 20:54,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-15000,AP-10063,MNT-01,8/8/2026 14:29,Under Review,,,FIN-PROC-001,FIN-POL-001,UW1-DTI-001,FALSE
LA-44681,AP-10064,MNT-03,3/28/2026 12:06,Approved,19,24,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-94500,AP-10065,MNT-01,3/5/2026 7:06,Approved,31,48,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
LA-67480,AP-10066,MNT-04,4/13/2026 18:46,Approved,22,60,FIN-PROC-001,FIN-POL-001,UW-APP-001,TRUE
