dataset,field_name,data_type,business_definition,key_status,is_required
applicants.csv,applicant_id,VARCHAR(50),"Unique identifier for each applicant (for example, AP-10001)",PK,TRUE
applicants.csv,income,"DECIMAL(12,2)",Self-reported or verified gross annual income in USD,,TRUE
applicants.csv,employment_duration,INT,Length of time with the applicant's current employer in months,,TRUE
applicants.csv,credit_score,INT,Baseline credit score at profile creation; expected range is 300 to 850,,TRUE
applicants.csv,credit_risk_tier,VARCHAR(20),"Internal credit classification: Excellent, Good, Fair, or Subprime",,TRUE
applicants.csv,region,VARCHAR(50),"Geographic market region: Northeast, Southeast, Midwest, Southwest, or West",,TRUE
applicants.csv,birth_date,DATE,Applicant's date of birth; applicant should be at least 18 years old,,TRUE
applicants.csv,employment_status,VARCHAR(20),"Employment category: employed, self-employed, or retired",,TRUE
applicants.csv,housing_status,VARCHAR(20),"Housing arrangement: Rent, own, or other",,TRUE
applicants.csv,state,CHAR(2),Two-letter abbreviation for the applicant's state of residence,,TRUE
applicants.csv,application_date,DATETIME,Date and time when the applicant record was submitted,,TRUE
credit_pull_events.csv,credit_pull_event_id,VARCHAR(50),"Unique identifier for each credit pull event (for example, EV-10001)",PK,TRUE
credit_pull_events.csv,applicant_id,VARCHAR(50),Identifier linking the event to applicants.applicant_id,FK,TRUE
credit_pull_events.csv,product_code,VARCHAR(10),Code linking the event to loan_products.product_code,FK,TRUE
credit_pull_events.csv,event_date,DATE,Date when the credit bureau pull occurred,,TRUE
credit_pull_events.csv,dti_ratio,"DECIMAL(5,2)",Applicant's debt-to-income ratio as a percentage at the time of the credit pull,,TRUE
credit_pull_events.csv,credit_score,INT,Score returned by the bureau; 300 to 850 when present and blank when the pull fails,,FALSE
credit_pull_events.csv,credit_score_tier_change,VARCHAR(20),"Tier-change result: No_Change, Upgraded, Downgraded, or Not_Applicable",,TRUE
credit_pull_events.csv,bureau_name,VARCHAR(20),"Credit bureau requested: EQUIFAX, EXPERIAN, or TRANSUNION",,TRUE
credit_pull_events.csv,pull_status,VARCHAR(20),"Operational result of the pull: SUCCESS, FAILED, or PENDING",,TRUE
credit_pull_events.csv,failure_code,VARCHAR(30),Failure reason; required for failed pulls and blank for successful pulls,,FALSE
credit_pull_events.csv,provider_request_id,VARCHAR(100),Unique tracking identifier returned by the bureau provider,,TRUE
credit_pull_events.csv,risk_status,VARCHAR(20),"Underwriting category: Low Risk, Moderate Risk, High Risk, Very High Risk, or Review",,TRUE
credit_pull_events.csv,active_flag,BOOLEAN,Indicates whether the credit pull event record is active,,TRUE
loan_applications.csv,application_id,VARCHAR(50),"Unique identifier for each loan application (for example, LA-10001)",PK,TRUE
loan_applications.csv,applicant_id,VARCHAR(50),Identifier linking the application to applicants.applicant_id,FK,TRUE
loan_applications.csv,product_code,VARCHAR(10),Code linking the application to loan_products.product_code,FK,TRUE
loan_applications.csv,decision_date,DATETIME,Date and time when the application decision was recorded,,TRUE
loan_applications.csv,decision_status,VARCHAR(20),"Underwriting result: Approved, Denied, or Under Review",,TRUE
loan_applications.csv,approved_amount,"DECIMAL(12,2)",Loan amount approved; zero when no amount has been approved,,TRUE
loan_applications.csv,approved_term_length,INT,Approved repayment term in months; zero when no term has been approved,,TRUE
loan_applications.csv,doc_id,VARCHAR(50),Identifier of the source document supporting the decision,,TRUE
loan_applications.csv,policy_doc_id,VARCHAR(50),Identifier of the underwriting policy applied to the decision,,TRUE
loan_applications.csv,rule_id_triggered,VARCHAR(50),Identifier of the policy rule that produced or escalated the decision,,TRUE
loan_products.csv,product_code,VARCHAR(10),Unique product code: MNT-01 for term loans or REV-02 for revolving credit,PK,TRUE
loan_products.csv,risk_status_criteria,TEXT,Credit score ranges used to assign underwriting risk categories,,TRUE
loan_products.csv,base_rate,"DECIMAL(5,4)",Baseline annual percentage rate before adjustments,,TRUE
loan_products.csv,max_amount,"DECIMAL(12,2)",Maximum principal amount or credit limit that may be issued,,TRUE
loan_products.csv,product_name,VARCHAR(250),Descriptive name of the credit product,,TRUE
loan_products.csv,min_term_month,INT,Minimum permitted term length in months,,TRUE
loan_products.csv,max_term_month,INT,Maximum permitted term length in months,,TRUE
loan_products.csv,max_dti_score,"DECIMAL(5,2)",Maximum permitted debt-to-income ratio expressed as a percentage,,TRUE
